SPEED_LIMIT,TYPE_DESCRIPTION,SURFACE_DESCRIPTION,xid,f0_elv,f0_scale
50,Road local,paved,387,0,94.5341634
50,Road arterial major,paved,388,0,105.0426964
50,Road local,paved,389,0,36.16018563
50,Road collector major,paved,390,0,14.9329246
50,Road local,paved,391,0,107.0964728
50,Road local,paved,392,0,52.69815011
50,Road local,paved,393,0,9.812737488
50,Road local,paved,394,0,107.2036231
50,Road collector major,paved,395,0,153.7687004
50,Road collector major,paved,396,0,104.034326
50,Road local,paved,397,0,97.61540667
50,Road local,paved,398,0,58.66650166
50,Road local,paved,399,0,255.3476534
50,Road local,paved,400,0,243.9759612
50,Road local,paved,401,0,347.5169904
50,Road collector major,paved,402,0,100.7457077
50,Road local,paved,403,0,347.4392858
50,Road collector major,paved,404,0,103.3314644
50,Road local,paved,405,0,270.4119839
50,Road collector major,paved,406,0,9.609912226
50,Road collector major,paved,407,0,64.04758641
50,Road collector major,paved,408,0,337.5910202
30,Road local,paved,409,0,292.2169433
50,Road local,paved,410,0,89.06816161
50,Road local,paved,411,0,244.9768359
50,Road local,paved,412,0,254.1784165
50,Road local,paved,413,0,51.39453117
50,Road local,paved,414,0,40.05174287
50,Road collector major,paved,415,0,140.506975
50,Road local,paved,416,0,54.28279662
50,Road local,paved,417,0,57.42916856
50,Road local,paved,418,0,127.4758293
50,Road local,paved,419,0,258.5368682
50,Road local,paved,420,0,122.3497856
50,Road collector major,paved,421,0,54.44212988
50,Road collector major,paved,422,0,462.3137405
50,Road collector major,paved,423,0,207.9850367
50,Road collector major,paved,424,0,344.8831861
30,Road local,paved,425,0,266.4186199
50,Road local,paved,426,0,77.6246033
50,Road local,paved,427,0,461.5269549
50,Road local,paved,428,0,366.3408559
50,Road local,paved,429,0,163.6887757
50,Road collector major,paved,430,0,16.53150414
50,Road local,paved,431,0,132.7387716
50,Road collector major,paved,432,0,110.5656903
50,Road collector major,paved,433,0,63.70357619
50,Road local,paved,434,0,131.5607632
50,Road local,paved,435,0,174.7251207
50,Road local,paved,436,0,90.11617525
50,Road local,paved,437,0,176.8129266
50,Road local,paved,438,0,91.94810059
50,Road local,paved,439,0,13.42098405
50,Road local,paved,440,0,327.4417827
50,Road local,paved,441,0,95.86778089
50,Road local,paved,442,0,269.9424217
50,Road local,paved,443,0,89.80405337
50,Road local,paved,444,0,219.7721712
50,Road local,paved,445,0,84.4457217
50,Road local,paved,446,0,89.21451921
50,Road local,paved,447,0,90.07946506
50,Road local,paved,448,0,57.91300028
50,Road local,paved,449,0,51.10591372
50,Road local,paved,450,0,145.1767006
50,Road local,paved,451,0,177.4184867
50,Road local,paved,452,0,86.14610847
50,Road local,paved,453,0,89.49314737
50,Road local,paved,454,0,56.09708906
50,Road local,paved,455,0,162.3823076
50,Road local,paved,456,0,44.76103234
50,Road local,paved,457,0,49.1969818
50,Road local,paved,458,0,138.3490891
50,Road local,paved,459,0,97.26142229
50,Road local,paved,460,0,29.95969714
50,Road local,paved,461,0,101.5123471
50,Road local,paved,462,0,167.9287569
50,Road local,paved,463,0,91.20522364
50,Road local,paved,464,0,174.3830772
50,Road local,paved,465,0,217.8086185
50,Road local,paved,466,0,138.7945994
50,Road local,paved,467,0,79.22974197
50,Road local,paved,468,0,101.5631511
50,Road local,paved,469,0,138.7909183
50,Road local,paved,470,0,92.97549805
50,Road collector major,paved,471,0,59.2820077
50,Road local,paved,472,0,34.00618867
50,Road local,paved,473,0,75.76607432
50,Road local,paved,474,0,134.2700511
50,Road collector major,paved,475,0,72.10026788
50,Road collector major,paved,476,0,30.05382468
50,Road local,paved,477,0,57.64527576
50,Road local,paved,478,0,197.5950907
50,Road local,paved,479,0,198.780824
50,Road collector major,paved,480,0,61.28176248
50,Road collector major,paved,481,0,102.7657472
50,Road local,paved,482,0,106.1563227
50,Road local,paved,483,0,160.5870831
30,Road local,paved,484,0,34.5307343
30,Road local,paved,485,0,72.92197376
50,Road local,paved,486,0,166.3259306
50,Road local,paved,487,0,165.1852124
50,Road local,paved,488,0,221.3132669
50,Road local,paved,489,0,103.1512681
50,Road local,paved,490,0,100.7794126
50,Road collector major,paved,491,0,127.4963624
50,Road local,paved,492,0,89.12356844
50,Road local,paved,493,0,88.13505575
50,Road collector major,paved,494,0,124.8859257
50,Road local,paved,495,0,136.3058371
50,Road local,paved,496,0,47.07391215
50,Road local,paved,497,0,126.8469827
50,Road local,paved,498,0,50.78287113
50,Road local,paved,499,0,37.65931792
50,Road local,paved,500,0,150.6846856
50,Road local,paved,501,0,53.26230203
50,Road local,paved,502,0,87.73588207
50,Road local,paved,503,0,126.8654327
50,Road local,paved,504,0,127.0066095
50,Road local,paved,505,0,83.64078796
50,Road arterial major,paved,506,0,107.1710421
50,Road local,paved,507,0,103.2203953
50,Road arterial major,paved,508,0,125.5887288
50,Road local,paved,509,0,60.97215769
50,Road local,paved,510,0,117.0656809
50,Road local,paved,511,0,104.5615523
50,Road local,paved,512,0,182.7433646
50,Road local,paved,513,0,95.88000328
50,Road local,paved,514,0,62.16983675
50,Road local,paved,515,0,181.6365835
50,Road local,paved,516,0,93.99598615
50,Road local,paved,517,0,151.9161743
50,Road local,paved,518,0,124.6176392
50,Road collector major,paved,519,0,56.49204578
50,Road collector major,paved,520,0,16.13171491
50,Road arterial major,paved,521,0,92.57000612
50,Road local,paved,522,0,82.34900744
50,Road collector major,paved,523,0,91.86608964
50,Road collector major,paved,524,0,128.1154239
50,Road local,paved,525,0,200.3781402
50,Road arterial major,paved,526,0,106.900451
50,Road local,paved,527,0,251.5400038
50,Road collector major,paved,528,0,52.29799231
50,Road collector major,paved,529,0,52.18630089
50,Road collector major,paved,530,0,97.16568131
50,Road collector major,paved,531,0,106.5098775
50,Road local,paved,532,0,232.1432812
50,Road local,paved,533,0,235.4440274
50,Road local,paved,534,0,230.8332948
50,Road collector major,paved,535,0,47.69357195
50,Road collector major,paved,536,0,56.39257945
50,Road collector major,paved,537,0,50.98248916
